Id,Name
1,
8,Dumfries & Galloway Pension Fund
9,Employee Personal Pension Plan
10,Fife Pension Fund
11,Group DB Scheme
12,Group DC Scheme
13,Group Personal Pension Plan
14,Highland Pension Fund
27,Legal & General (DC)
15,Lothian Pension Fund
24,NEST
16,North East Scotland Pension Fund
26,Now: Pensions
17,Pensions Trust Money Purchase Pension Scheme
18,Scottish Borders Pension Fund
6,SHAPS CARE 120th
3,SHAPS CARE 60th
4,SHAPS CARE 70th
5,SHAPS CARE 80th
7,SHAPS DC
2,SHAPS final salary
19,SHIPS DC
20,SHIPS Final Salary
21,Social Housing Pension Scheme
22,Strathclyde Pension Fund
23,Tayside Superannuation Fund
25,The People's Pension
